PokemonData(name=Moruda,pokedexId=781,generation=6,encounterNeeded=0,huntMethod=Other,tabIndex=3,internalId=151)
PokemonData(name=Miniras,pokedexId=782,generation=6,encounterNeeded=0,huntMethod=Other,tabIndex=3,internalId=152)
PokemonData(name=Karpador,pokedexId=129,generation=0,encounterNeeded=0,huntMethod=Other,tabIndex=4,internalId=63)
PokemonData(name=Evoli,pokedexId=133,generation=0,encounterNeeded=0,huntMethod=Other,tabIndex=4,internalId=64)
PokemonData(name=Makuhita,pokedexId=296,generation=2,encounterNeeded=0,huntMethod=Other,tabIndex=4,internalId=66)
PokemonData(name=Schmerbe,pokedexId=339,generation=2,encounterNeeded=0,huntMethod=Other,tabIndex=4,internalId=67)
PokemonData(name=Rocara,pokedexId=703,generation=5,encounterNeeded=0,huntMethod=Other,tabIndex=4,internalId=68)
PokemonData(name=Pampuli,pokedexId=749,generation=6,encounterNeeded=0,huntMethod=Other,tabIndex=4,internalId=69)
PokemonData(name=Molunk,pokedexId=757,generation=6,encounterNeeded=0,huntMethod=Other,tabIndex=4,internalId=70)
PokemonData(name=Kramurx,pokedexId=198,generation=1,encounterNeeded=0,huntMethod=Other,tabIndex=4,internalId=86)
PokemonData(name=Vulpix-alola,pokedexId=37,generation=0,encounterNeeded=0,huntMethod=Other,tabIndex=4,internalId=144)
PokemonData(name=Larvitar,pokedexId=246,generation=1,encounterNeeded=0,huntMethod=Other,tabIndex=4,internalId=159)
PokemonData(name=Knacklion,pokedexId=328,generation=2,encounterNeeded=0,huntMethod=Other,tabIndex=4,internalId=167)
PokemonData(name=Muramura,pokedexId=805,generation=6,encounterNeeded=0,huntMethod=Other,tabIndex=5,internalId=161)
PokemonData(name=Bisaknosp,pokedexId=2,generation=1,encounterNeeded=826,huntMethod=Hatch,tabIndex=5,internalId=171)
PokemonData(name=Muntier,pokedexId=288,generation=3,encounterNeeded=0,huntMethod=Hatch,tabIndex=5,internalId=172)
PokemonData(name=Hariyama,pokedexId=297,generation=3,encounterNeeded=0,huntMethod=Hatch,tabIndex=5,internalId=173)
PokemonData(name=Finneon,pokedexId=456,generation=4,encounterNeeded=827,huntMethod=Hatch,tabIndex=5,internalId=174)
PokemonData(name=Glumanda,pokedexId=4,generation=1,encounterNeeded=0,huntMethod=Hatch,tabIndex=5,internalId=175)
PokemonData(name=Glurak,pokedexId=6,generation=1,encounterNeeded=0,huntMethod=Hatch,tabIndex=5,internalId=176)
PokemonData(name=Bisasam,pokedexId=1,generation=1,encounterNeeded=111,huntMethod=Hatch,tabIndex=0,internalId=200)
PokemonData(name=Bisasam,pokedexId=1,generation=1,encounterNeeded=111,huntMethod=Hatch,tabIndex=1,internalId=201)
PokemonData(name=Bisasam,pokedexId=1,generation=1,encounterNeeded=111,huntMethod=Hatch,tabIndex=2,internalId=202)
PokemonData(name=Bisasam,pokedexId=1,generation=1,encounterNeeded=111,huntMethod=Hatch,tabIndex=3,internalId=203)
PokemonData(name=Bisasam,pokedexId=1,generation=1,encounterNeeded=111,huntMethod=Hatch,tabIndex=4,internalId=204)
PokemonData(name=Bisasam,pokedexId=1,generation=1,encounterNeeded=111,huntMethod=Hatch,tabIndex=5,internalId=205)
PokemonData(name=Bisasam,pokedexId=1,generation=1,encounterNeeded=111,huntMethod=Hatch,tabIndex=0,internalId=206)
PokemonData(name=Bisasam,pokedexId=1,generation=1,encounterNeeded=111,huntMethod=Hatch,tabIndex=1,internalId=207)
PokemonData(name=Bisasam,pokedexId=1,generation=1,encounterNeeded=111,huntMethod=Hatch,tabIndex=2,internalId=208)
PokemonData(name=Bisasam,pokedexId=1,generation=1,encounterNeeded=111,huntMethod=Hatch,tabIndex=3,internalId=209)
